codigo_comuna,nombre_comuna,codigo_region,nombre_region,anio,id_metrica,nombre_metrica,valor,unidad,fuente,fecha_descarga
13112,La Pintana,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,19.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13112,La Pintana,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,13.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13112,La Pintana,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,21.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13112,La Pintana,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,24.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13112,La Pintana,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,40.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13113,La Reina,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,3.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13113,La Reina,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,0.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13113,La Reina,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,3.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13113,La Reina,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,0.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13113,La Reina,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,1.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13113,La Reina,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,1.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13113,La Reina,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,1.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13113,La Reina,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,4.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13114,Las Condes,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,1.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13114,Las Condes,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,0.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13114,Las Condes,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,3.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13114,Las Condes,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,2.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13114,Las Condes,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,1.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13114,Las Condes,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,5.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13114,Las Condes,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,1.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13114,Las Condes,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,0.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13115,Lo Barnechea,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,2.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13115,Lo Barnechea,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,0.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13115,Lo Barnechea,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,2.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13115,Lo Barnechea,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,1.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13115,Lo Barnechea,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,0.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13115,Lo Barnechea,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,3.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13115,Lo Barnechea,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,0.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13115,Lo Barnechea,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,1.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13116,Lo Espejo,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,15.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13116,Lo Espejo,13,Región Metropolitana de Santiago,2019,homicidios,Homicidios,10.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13116,Lo Espejo,13,Región Metropolitana de Santiago,2020,homicidios,Homicidios,14.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13116,Lo Espejo,13,Región Metropolitana de Santiago,2021,homicidios,Homicidios,12.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13116,Lo Espejo,13,Región Metropolitana de Santiago,2022,homicidios,Homicidios,10.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13116,Lo Espejo,13,Región Metropolitana de Santiago,2023,homicidios,Homicidios,14.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13116,Lo Espejo,13,Región Metropolitana de Santiago,2024,homicidios,Homicidios,5.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13116,Lo Espejo,13,Región Metropolitana de Santiago,2025,homicidios,Homicidios,10.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
13117,Lo Prado,13,Región Metropolitana de Santiago,2018,homicidios,Homicidios,3.0,casos policiales,insecurity_cead_delincuencia_chile,2026-05-29
